Parameters,Value,Uncertainty
K0,4.057676955171545,0.001240843439002986
K1,0.005252588303616625,4.595187896826982e-06
K2,1.313413305501708e-06,4.954059530365592e-09
K3,-3.8044752976310545e-11,1.5928972164390832e-12
