Parameters,Value,Uncertainty
K0,4.05319737070671,0.002085499590911647
K1,0.005267512149032155,7.620825193570199e-06
K2,1.2984119031302042e-06,8.152345053933691e-09
K3,-3.3558718935858524e-11,2.616291912350401e-12
