Parameters,Value,Uncertainty
K0,4.06121304223957,0.0017247043061097249
K1,0.0052416007657306,6.183483939119502e-06
K2,1.3238534861112309e-06,6.527022699746313e-09
K3,-4.119338795005633e-11,2.0700824760186622e-12
