Parameters,Value,Uncertainty
K0,4.059069877850603,0.002967681659192272
K1,0.00524861659074971,8.428843086747752e-06
K2,1.3175713780254862e-06,7.578271616316443e-09
K3,-3.926624114745901e-11,2.135077361138438e-12
