Parameters,Value,Uncertainty
K0,4.060048320393425,0.002116015649964298
K1,0.005243775153502391,7.880247193123925e-06
K2,1.320795914281437e-06,8.398109390764573e-09
K3,-4.006228689093911e-11,2.6558865231411975e-12
