calibration,conf band
4.054872794150549,0.00254570823677283
4.060132467250082,0.0025456615131446434
4.0653947619157496,0.0025456147667930066
4.070659677919892,0.002545567997725606
4.075927215034843,0.002545521205943702
4.081197373032942,0.0025454743914539607
4.086470151686521,0.0025454275542529485
4.091745550767919,0.002545380694345803
4.0970235700494735,0.0025453338117390873
4.102304209303518,0.00254528690643039
4.107587468302391,0.002545239978425051
4.1128733468184295,0.0025451930277283086
4.118161844623968,0.0025451460543378535
4.123452961491345,0.0025450990582603513
4.128746697192896,0.002545052039496042
4.134043051500955,0.00254500499804986
4.139342024187862,0.0025449579339259197
4.144643615025952,0.0025449108471233407
4.149947823787561,0.002544863737647259
4.155254650245026,0.0025448166055017925
4.160564094170683,0.002544769450686976
4.1658761553368695,0.002544722273205806
4.1711908335159205,0.0025446750730645407
4.176508128480174,0.0025446278502611764
4.181828040001965,0.002544580604803094
4.18715056785363,0.0025445333366920665
4.192475711807505,0.002544486045927007
4.197803471635929,0.002544438732518051
4.203133847111236,0.002544391396461971
4.208466838005763,0.002544344037763701
4.213802444091846,0.002544296656427256
4.219140665141823,0.0025442492524532854
4.224481500928029,0.0025442018258451933
4.229824951222801,0.002544154376608728
4.235171015798475,0.0025441069047438245
4.240519694427387,0.002544059410250828
4.245870986881874,0.002544011893139873
4.251224892934273,0.0025439643534088553
4.25658141235692,0.002543916791060363
4.261940544922151,0.002543869206099838
4.267302290402302,0.002543821598528647
4.272666648569712,0.0025437739683482536
4.278033619196715,0.0025437263155640008
4.283403202055647,0.002543678640179699
4.2887753969188465,0.0025436309421945726
4.294150203558648,0.002543583221615084
4.29952762174739,0.0025435354784388237
4.304907651257406,0.0025434877126747036
4.310290291861034,0.002543439924323375
4.315675543330612,0.002543392113388547
4.3210634054384744,0.0025433442798692375
4.326453877956959,0.002543296423773034
4.331846960658401,0.0025432485451004853
4.337242653315137,0.002543200643853975
4.342640955699503,0.0025431527200390487
4.348041867583837,0.0025431047736572763
4.353445388740473,0.002543056804709921
4.3588515189417505,0.0025430088132022215
4.364260257960004,0.002542960799134524
4.36967160556757,0.0025429127625108453
4.375085561536785,0.002542864703337446
4.380502125639986,0.0025428166216112033
4.385921297649509,0.002542768517339397
4.391343077337691,0.0025427203905226793
4.396767464476867,0.002542672241163639
4.402194458839374,0.0025426240692687408
4.407624060197549,0.002542575874837107
4.413056268323729,0.0025425276578736706
4.418491082990249,0.0025424794183815324
4.423928503969445,0.0025424311563608344
4.429368531033656,0.00254238287181651
4.434811163955216,0.0025423345647506406
4.440256402506463,0.002542286235167957
4.445704246459731,0.0025422378830690083
4.45115469558736,0.002542189508458731
4.456607749661683,0.00254214111134012
4.462063408455038,0.0025420926917121994
4.467521671739762,0.0025420442495850022
4.472982539288191,0.0025419957849527543
4.478446010872662,0.0025419472978231465
4.483912086265509,0.0025418987882011132
4.489380765239071,0.0025418502560835337
4.494852047565683,0.0025418017014804443
4.500325933017681,0.0025417531243886195
4.505802421367403,0.0025417045248129965
4.511281512387185,0.002541655902759021
4.516763205849363,0.002541607258225409
4.522247501526273,0.0025415585912224995
4.527734399190254,0.0025415099017420733
4.533223898613639,0.0025414611897940638
4.538715999568766,0.0025414124553800425
4.544210701827971,0.0025413636985052498
4.549708005163591,0.0025413149191664645
4.555207909347962,0.002541266117373314
4.56071041415342,0.002541217293126655
4.566215519352303,0.002541168446426529
4.571723224716946,0.002541119577276852
4.5772335300196865,0.002541070685683988
4.582746435032859,0.002541021771648387
4.588261939528802,0.0025409728351691733
4.59378004327985,0.002540923876255157
4.599300746058341,0.00254087489490893
4.604824047636611,0.0025408258911310444
4.610349947786996,0.002540776864925212
4.615878446281833,0.002540727816290762
4.621409542893458,0.0025406787452363017
4.626943237394209,0.0025406296517624847
4.632479529556419,0.0025405805358716975
4.638018419152428,0.0025405313975657177
4.64355990595457,0.0025404822368495844
4.649103989735183,0.002540433053726091
4.6546506702666015,0.0025403838481982376
4.660199947321164,0.0025403346202681073
4.665751820671206,0.0025402853699379845
4.6713062900890625,0.002540236097211381
4.676863355347074,0.002540186802091191
4.682423016217573,0.002540137484583782
4.687985272472897,0.002540088144683485
4.693550123885384,0.0025400387824015607
4.699117570227368,0.0025399893977379497
4.7046876112711855,0.002539939990695957
4.710260246789175,0.0025398905612768487
4.715835476553672,0.002539841109484544
4.721413300337013,0.0025397916353230624
4.726993717911534,0.0025397421387927522
4.732576729049571,0.00253969261989896
4.738162333523462,0.0025396430786439714
4.743750531105542,0.002539593515029666
4.7493413215681475,0.0025395439290600624
4.754934704683616,0.002539494320738876
4.760530680224282,0.0025394446900666597
4.766129247962485,0.002539395037048658
4.7717304076705584,0.002539345361684709
4.777334159120839,0.00253929566398169
4.7829405020856655,0.0025392459439398467
4.788549436337374,0.002539196201564221
4.794160961648298,0.002539146436853835
4.799775077790775,0.0025390966498165858
4.805391784537143,0.0025390468404527205
4.811011081659737,0.002538997008761161
4.816632968930895,0.002538947154752149
4.8222574461229515,0.002538897278425728
4.827884513008244,0.0025388473797827572
4.833514169359109,0.002538797458830214
4.839146414947883,0.002538747515566412
4.844781249546901,0.0025386975499974086
4.850418672928502,0.0025386475621240645
4.856058684865019,0.0025385975519523394
4.861701285128791,0.0025385475194825815
4.867346473492154,0.0025384974647187117
4.872994249727444,0.0025384473876627106
4.8786446136069985,0.00253839728831799
4.884297564903152,0.0025383471666899963
4.889953103388242,0.002538297022775409
4.895611228834605,0.002538246856583044
4.901271941014578,0.0025381966681144747
4.906935239700496,0.002538146457368725
4.912601124664696,0.002538096224354611
