K0,K1,K2,K3
5.696376004038384e-06,-1.9400062241967715e-08,1.85209006380065e-11,-5.264675282737722e-15
-1.9400062241967715e-08,7.621465329517873e-11,-7.863706176104124e-14,2.3512540165710255e-17
1.85209006380065e-11,-7.863706176104124e-14,8.581330890354007e-17,-2.6754882219324308e-20
-5.264675282737722e-15,2.3512540165710255e-17,-2.6754882219324308e-20,8.635601050621803e-24
