Parameters,Value,Uncertainty
K0,4.061829594730773,0.0021071529058744724
K1,0.005237886594169305,7.423993293993689e-06
K2,1.3259008155537713e-06,7.782585275967944e-09
K3,-4.099674742391822e-11,2.4544475364070142e-12
