Parameters,Value,Uncertainty
K0,4.054872794150549,0.0024646605437129436
K1,0.005258362240575839,8.996150301490898e-06
K2,1.3108969001354607e-06,9.40308695113307e-09
K3,-3.7943929638142093e-11,2.9374294157270186e-12
