Parameters,Value,Uncertainty
K0,4.057238755983298,0.0013993876160378295
K1,0.005252422709697271,5.295888355926024e-06
K2,1.3159156712313145e-06,5.709253031720791e-09
K3,-3.916667823945536e-11,1.8194524352640574e-12
