K0,K1,K2,K3
2.4581053042512977e-06,-8.009350324485838e-09,7.635329488393253e-12,-2.1939624127378994e-15
-8.009350324485838e-09,2.869347228049204e-11,-2.912937388738391e-14,8.746072980137557e-18
7.635329488393253e-12,-2.912937388738391e-14,3.110039926178107e-17,-9.702427578291752e-21
-2.1939624127378994e-15,8.746072980137557e-18,-9.702427578291752e-21,3.1259314123547517e-24
