Parameters,Value,Uncertainty
K0,4.054476037082141,0.002234625018167267
K1,0.005261783733383469,8.229381442695757e-06
K2,1.3051331766128547e-06,8.67288357685279e-09
K3,-3.600889684747747e-11,2.7284044306382724e-12
