K0,K1,K2,K3
4.9935489718190576e-06,-1.737437225569209e-08,1.6756608820649242e-11,-4.784814039751925e-15
-1.737437225569209e-08,6.772271892938531e-11,-6.96004149660472e-14,2.072636128283241e-17
1.6756608820649242e-11,-6.96004149660472e-14,7.521890953764283e-17,-2.3278865976103024e-20
-4.784814039751925e-15,2.072636128283241e-17,-2.3278865976103024e-20,7.444190737126554e-24
