Before removal,after removal,tval
5e-06,5e-06,2.200985160082949
5e-06,5e-06,2.200985160082949
5e-06,5e-06,2.200985160082949
5e-06,5e-06,2.200985160082949
0.0002,0.0002,2.200985160082949
0.00030000000000000003,0.00030000000000000003,2.200985160082949
5e-06,5e-06,2.200985160082949
5e-06,5e-06,2.200985160082949
5e-06,5e-06,2.200985160082949
5e-06,5e-06,2.200985160082949
5e-06,5e-06,2.200985160082949
5e-06,5e-06,2.2621571627409915
5e-06,5e-06,2.200985160082949
0.000315,0.000315,2.200985160082949
0.00022,0.00022,2.200985160082949
0.000145,0.000145,2.200985160082949
0.00036500000000000004,0.00036500000000000004,2.200985160082949
0.00011,0.00011,2.200985160082949
0.00051,0.00051,2.200985160082949
0.00034,0.00034,2.200985160082949
0.00011,0.00011,2.200985160082949
5e-06,5e-06,2.200985160082949
